Twitter_Handle,Tweet_Text,Tweet_URL,Tweet_Date
@AprilINFA,"RT @Informatica: NEWS: Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/OwFJF4Rk7q    #Data17 https://t.co/03lvOtv2WN",http://twitter.com/AprilINFA/status/918447495470092288,"October 12, 2017 at 08:05AM"
@EXASOLAG,Have you taken the #Exasol Speed Challenge at #Data17? Stop by booth 239 to see how fast we can help you go! https://t.co/CLhf2J1D8a,http://twitter.com/EXASOLAG/status/918447950799560705,"October 12, 2017 at 08:07AM"
@kamalesh161730p,"RT @infacloud: Unleash the disruptive power of data with @Informatica at #Data17 #DataCatalog https://t.co/XgohsCjQzg",http://twitter.com/kamalesh161730p/status/918448063299112960,"October 12, 2017 at 08:07AM"
@VeniVidiVizi,@GeoPKoch I had a similar thought. #wheresFloRida? #Snoooooop? #data17,http://twitter.com/VeniVidiVizi/status/918448574144401409,"October 12, 2017 at 08:09AM"
@INFA_Matt,"RT @infacloud: .@Informatica Proud to Take Home Two @Datanami 2017 Readerâ€™s Choice Awards https://t.co/wl4tG83HHU #Data17 #DataCatalog",http://twitter.com/INFA_Matt/status/918448680834879488,"October 12, 2017 at 08:10AM"
@YvesMulkers,RT @callmedeeray: #wearedatapeople #data17 #surewhynot https://t.co/oErw6TPAwS,http://twitter.com/YvesMulkers/status/918449702458273792,"October 12, 2017 at 08:14AM"
@VeniVidiVizi,@macdonaldj @tableau @infolabUK I'm missing out too.  So Glad to have the live stream and the @tableau Twitter commâ€_ https://t.co/GrZES1IbJf,http://twitter.com/VeniVidiVizi/status/918449955332939781,"October 12, 2017 at 08:15AM"
@OuestTug,RT @tableau: Chatting with #IronViz contestants at #data17 https://t.co/WtDlJBZF45,http://twitter.com/OuestTug/status/918450315485171713,"October 12, 2017 at 08:16AM"
@kamalesh161730p,"RT @infacloud: Unleash the disruptive power of data with @Informatica at #Data17 #DataCatalog https://t.co/YYDp7q1kRL",http://twitter.com/kamalesh161730p/status/918450481294401536,"October 12, 2017 at 08:17AM"
@dan_gaspari,"RT CapTechListens: RT nerdboutique: #captechlistens Captech and 15,000 data enthusiasts! #data17 https://t.co/BxEohLLkEc",http://twitter.com/dan_gaspari/status/918451056203493376,"October 12, 2017 at 08:19AM"
